Title,Description,Image URL,Link,Bias 
The Final Stake Through the Heart of Repeal Is … Orrin Hatch?,John McCain created a moment of immense drama Thursday night when he thumbs-downed the Republicans’ last-gasp attempt to keep the Obamacare repeal alive.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/16-orrin-hatch.w710.h473.2x.jpg?itok=2FHzn1N3,http://www.allsides.com/news/2017-08-01-1256/final-stake-through-heart-repeal-%E2%80%A6-orrin-hatch,1
"Trump dictated son’s misleading statement on meeting with Russian lawyer
",President Trump personally dictated a statement that was issued after revelations that Donald Trump Jr. met with a Russian lawyer during the 2016 election. The Washington Post's Philip Rucker and Carol D. Leonnig explain.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%209.42.37%20AM.png?itok=Ou4lhhxG,http://www.allsides.com/news/2017-08-01-0644/trump-dictated-son%E2%80%99s-misleading-statement-meeting-russian-lawyer,2
John Kelly Is Supposed To End White House Chaos — But His Boss Is The Chief Chaos Agent,The new chief of staff has his work cut out for him.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%209.32.38%20AM.png?itok=KtDQASya,http://www.allsides.com/news/2017-08-01-0633/john-kelly-supposed-end-white-house-chaos-%E2%80%94-his-boss-chief-chaos-agent,1
Lesson for Trump: Hardball Against Senators Is a Game He Can Lose,Senator Lisa Murkowski of Alaska has refused to back the Republican Party’s line on health care. Her stance against the administration is likely to bolster her at home in the short term.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%209.29.53%20AM.png?itok=O5MKeIoc,https://www.nytimes.com/2017/08/01/us/politics/presidents-trump-senators.html?action=click&contentCollection=politics%C2%AEion=rank&module=package&version=highlights&contentPlacement=1&pgtype=sectionfront,2
Putin’s Bet on a Trump Presidency Backfires Spectacularly,"Just days after Congress approved more sanctions against Russia, President Vladimir V. Putin retaliated by forcing the dismissal of hundreds of employees from American diplomatic posts in the country.",https://www.allsides.com/sites/default/files/styles/news-thumb/public/31dc-assess-master768.jpg?itok=ys6vdXFy,https://www.nytimes.com/2017/07/30/us/politics/putins-bet-on-a-trump-presidency-backfires-spectacularly.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region%C2%AEion=top-news&WT.nav=top-news,2
Putin orders cut of 755 personnel at U.S. missions,"The Post's Andrew Roth explains a statement the Russian Foreign Ministry issued July 28, seizing U.S. diplomatic properties and demanding the State Department reduce its staff in Russia.",https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-07-31%20at%2012.36.50%20PM.png?itok=61KxLl3B,http://www.allsides.com/news/2017-07-31-0937/putin-orders-cut-755-personnel-us-missions,2
"Trump encourages Senate to change rules after health care defeat
",President Trump continued to express his dissatisfaction with Senate Republicans after their latest attempt to repeal and replace the Affordable Care Act failed.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-07-30%20at%209.36.15%20AM.png?itok=d4VMs6JA,http://www.allsides.com/news/2017-07-30-0638/trump-encourages-senate-change-rules-after-health-care-defeat,2
The Trump administration’s chaos has reached an astounding new level,The chief of staff is out. The president publicly mocks his AG. The new communications director viciously attacks his co-workers.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-07-30%20at%209.35.35%20AM.png?itok=iyF6p8d6,https://www.vox.com/2017/7/29/16053710/trump-chief-of-staff-priebus-scaramucci,2
Donald Trump’s shocking disloyalty,Trump promised to hire “the best people.” He has built a White House that will only attract the worst.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-07-31%20at%2012.23.33%20PM.png?itok=SFgHKjJZ,https://www.vox.com/policy-and-politics/2017/7/31/16065040/donald-trump-disloyalty,2
President Trump Must End Illegal Obamacare Payments to Congress and Insurers,"Over the weekend, President Trump fired a warning shot: “If a new HealthCare Bill is not approved quickly, BAILOUTS for Insurance Companies and BAILOUTS for...",https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%205.59.33%20PM.png?itok=UFgqb4Nz,https://www.allsides.com/news/2017-08-01-1500/president-trump-must-end-illegal-obamacare-payments-congress-and-insurers,5
Trump 'dictated' son's statement on Russian lawyer meeting,"President Donald Trump personally dictated the statement his son gave on his talks with a Russian lawyer during the election campaign, US media report.",https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%209.56.14%20AM.png?itok=BZKQ35pQ,http://www.allsides.com/news/2017-08-01-0656/trump-dictated-sons-statement-russian-lawyer-meeting,3
Putin tests Trump with counterpunch on sanctions,Russian President Vladimir Putin’s decision to curtail American staff at diplomatic posts by more than 750 people could herald a frosty turn in Moscow’s relations with the United States.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%209.54.29%20AM.png?itok=eFqkw_wU,http://thehill.com/policy/national-security/344680-putin-tests-trump-with-counterpunch-on-sanctions,3
Trump extols corporate profits while seeking corporate tax cut,"U.S. President Donald Trump sent a Twitter message bragging about corporate America's high profits under his presidency on Tuesday, prompting critics to say he was undercutting Republican arguments in favor of a tax cut for corporations.",https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%209.48.50%20AM.png?itok=oBYM8CXf,http://www.allsides.com/news/2017-08-01-0654/senate-democrats-offer-republicans-help-tax-reform-conditions,3
Senate Republicans brush off Trump's healthcare demands,Senate Republicans appear poised to ignore President Trump's demands that they immediately resurrect ObamaCare repeal and abolish the legislative filibuster.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%209.52.07%20AM.png?itok=1d3NG-tr,http://thehill.com/homenews/senate/344697-senate-republicans-brush-off-trumps-healthcare-demands,3
GOP Senate candidates race to align with Trump,Republican Senate candidates across the country are battling to emerge as the pro-Trump candidate in contested primaries.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-07-30%20at%209.48.47%20AM.png?itok=Xtr9Iy9N,http://thehill.com/homenews/campaign/344393-gop-senate-candidates-race-to-align-with-trump,3
Trump threatens to end insurance payments if no healthcare bill,U.S. President Donald Trump threatened on Saturday to end government payments to health insurers if Congress does not pass a new healthcare bill and goaded them to not abandon their seven-year quest to replace the Obamacare law.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-07-30%20at%209.49.06%20AM.png?itok=eUet0mig,http://www.allsides.com/news/2017-07-30-0650/trump-threatens-end-insurance-payments-if-no-healthcare-bill,3
"With Obamacare repeal dead, bipartisan group of senators seek path on health care reform",A chance encounter between two senators on an airplane last month in Maine may be the catalyst for a breakthrough on health care reform.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-07-30%20at%209.49.28%20AM.png?itok=BZYE6JcT,http://www.allsides.com/news/2017-07-30-0653/obamacare-repeal-dead-bipartisan-group-senators-seek-path-health-care-reform,3
Post-Scaramucci White House: Why Trump is fighting Republicans,,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Webp.net-resizeimage%20%2829%29.png?itok=p0-EC4lY,http://www.foxnews.com/politics/2017/08/01/post-scaramucci-white-house-why-trump-is-fighting-republicans.html,5
"Iowa Senator: Folks, We Can't Just Abandon Our Pledge To Repeal And Replace Obamacare","Last week was rough for the GOP. The Senate Republican health care push failed when Sens. John McCain (R-AZ), Lisa Murkowski (R-AK), and Susan Collins (R-ME) joined Senate Democrats to block the so-called “skinny repeal.”",https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%2010.06.34%20AM.png?itok=hlfq45jM,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%2010.06.34%20AM.png?itok=hlfq45jM,5
Senate Democrats: No tax cuts for the rich,"Senate Democrats on Tuesday said Republicans need to abandon any plans to cut taxes for the wealthy, and that they should not leverage fast-track budget rules to overhaul the tax code or pass a package that adds to the deficit if the GOP has serious designs on winning Democratic support for tax reform.",https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%2010.06.25%20AM.png?itok=mq638lTr,http://www.allsides.com/news/2017-08-01-0707/senate-democrats-no-tax-cuts-rich,4
House Judiciary Member: Mueller Legally Required To Resign Over ‘Conflict Of Interest’,Republican Arizona Rep. Trent Franks says that Robert Mueller is in “clear violation” of federal law prohibiting a special counsel from having a conflict of interest and therefore must immediately resign as special counsel overseeing the Russia investigation.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%2010.04.18%20AM.png?itok=tLCtgjWS,http://www.allsides.com/news/2017-08-01-0706/house-judiciary-member-mueller-legally-required-resign-over-%E2%80%98conflict-interest%E2%80%99,4
Lindsey Graham: Trump is prepared to strike North Korea,"Sen. Lindsey Graham, R-S.C., said Tuesday that President Trump has indicated to him that the administration is prepared to strike North Korea to prevent an attack against the U.S.",https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-08-01%20at%2010.03.14%20AM.png?itok=Eys-HUe9,http://www.allsides.com/news/2017-08-01-0704/lindsey-graham-trump-prepared-strike-north-korea,5
The Great Conservative Rethink Isn’t Going Away ,The Right has shown that it knows how to win elections; now it must figure out how to govern.,https://www.allsides.com/sites/default/files/styles/news-thumb/public/Screen%20Shot%202017-07-31%20at%2012.10.36%20PM.png?itok=Smam2fMo,http://www.nationalreview.com/article/449979/conservative-dilemma-rhetoric-power-collide,5
